City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Taujica,15.7,-85.9167,74.8,91,92,2.64,HN,2022-10-15 06:02:27
278,Lubango,-14.9172,13.4925,66.31,62,90,2.39,AO,2022-10-15 06:02:27
279,Qaqortoq,60.7167,-46.0333,26.94,56,36,5.21,GL,2022-10-15 06:02:27
280,Kahului,20.8947,-156.47,78.84,92,32,5.99,US,2022-10-15 06:02:28
281,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,77.58,46,72,4.54,BR,2022-10-15 06:02:28
282,Deputatskiy,69.3,139.9,3.78,94,96,5.3,RU,2022-10-15 06:02:29
283,Vao,-22.6667,167.4833,69.39,61,2,10.76,NC,2022-10-15 06:02:29
284,Bardiyah,31.7561,25.0865,70.2,76,20,18.43,LY,2022-10-15 06:02:30
285,Emba,48.8264,58.1442,51.64,47,10,3.53,KZ,2022-10-15 06:02:30
286,Havre-Saint-Pierre,50.2334,-63.5986,48.56,93,100,14.97,CA,2022-10-15 06:02:31
287,Lucapa,-8.4192,20.7447,75.06,57,85,0.58,AO,2022-10-15 06:02:31
288,Silvassa,20.2667,73.0167,84.42,52,100,8.37,IN,2022-10-15 06:02:31
289,Santa Rosalia,27.3167,-112.2833,74.39,65,11,8.52,MX,2022-10-15 06:02:32
290,Sunndalsora,62.6754,8.5515,43.11,99,100,3.11,NO,2022-10-15 06:02:32
291,Chirongui,-12.9319,45.1483,80.53,62,37,1.03,YT,2022-10-15 06:02:32
292,Paamiut,61.994,-49.6678,34.5,65,29,23.38,GL,2022-10-15 06:02:33
293,Lorengau,-2.0226,147.2712,85.57,67,53,7.07,PG,2022-10-15 06:02:33
294,Lompoc,34.6391,-120.4579,64.02,98,100,3.44,US,2022-10-15 06:02:34
