City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
413,Smolensk,RU,55.0,33.0,43.74,91,100,8.37,overcast clouds,2022-10-24 03:58:59
414,Tecoanapa,MX,16.5167,-98.75,79.2,86,40,5.79,scattered clouds,2022-10-24 03:58:59
415,Non Sang,TH,16.8687,102.5664,85.21,53,9,4.88,clear sky,2022-10-24 03:59:00
416,Takoradi,GH,4.8845,-1.7554,76.62,90,31,4.23,light rain,2022-10-24 03:59:00
417,Egvekinot,RU,66.3167,-179.1667,13.15,87,93,3.91,overcast clouds,2022-10-24 03:59:01
418,Dhone,IN,15.4167,77.8833,74.53,58,51,10.27,broken clouds,2022-10-24 03:59:02
419,Hamilton,US,39.1834,-84.5333,62.94,64,10,4.68,clear sky,2022-10-24 03:55:31
420,Hay River,CA,60.8156,-115.7999,26.58,80,75,6.91,broken clouds,2022-10-24 03:55:50
421,Newport Beach,US,33.6189,-117.9289,64.09,82,0,3.29,clear sky,2022-10-24 03:59:02
422,Talaya,RU,61.3833,152.75,1.98,93,37,0.89,scattered clouds,2022-10-24 03:59:03
423,Bumba,CD,2.1833,22.4667,70.16,98,100,1.59,overcast clouds,2022-10-24 03:59:03
424,Kampene,CD,-3.6,26.6667,67.15,97,85,0.94,overcast clouds,2022-10-24 03:59:04
425,Saint-Georges,GD,12.0564,-61.7485,80.28,89,75,5.75,broken clouds,2022-10-24 03:59:04
426,Katsuura,JP,35.1333,140.3,58.01,83,100,20.13,overcast clouds,2022-10-24 03:59:05
427,Harper,LR,4.375,-7.7169,76.64,88,100,6.85,light rain,2022-10-24 03:59:05
428,Blyznyuky,UA,48.8578,36.5551,47.17,87,100,13.67,overcast clouds,2022-10-24 03:59:06
429,Coihaique,CL,-45.5752,-72.0662,47.01,93,75,5.75,light rain,2022-10-24 03:59:06
430,Orlik,RU,52.5178,99.825,34.14,45,100,7.83,overcast clouds,2022-10-24 03:59:06
431,Manzanillo,CU,20.3433,-77.1167,73.87,90,3,10.31,clear sky,2022-10-24 03:59:07
432,Benxi,CN,41.2886,123.765,52.12,31,6,4.23,clear sky,2022-10-24 03:59:07
433,Saint-Augustin,CA,51.226,-58.6502,45.73,68,2,7.65,clear sky,2022-10-24 03:59:08
434,Okhotsk,RU,59.3833,143.3,23.74,40,5,12.37,clear sky,2022-10-24 03:55:40
435,Oktyabrskiy,RU,54.4815,53.471,35.67,77,90,12.86,overcast clouds,2022-10-24 03:59:08
436,Dumas,US,35.8656,-101.9732,70.54,42,0,13.8,clear sky,2022-10-24 03:59:09
437,Whitehorse,CA,60.7161,-135.0538,33.03,80,100,10.36,light snow,2022-10-24 03:59:09
438,Calamar,CO,10.2511,-74.9146,76.6,90,100,3.24,overcast clouds,2022-10-24 03:59:09
439,Ovalle,CL,-30.5983,-71.2003,59.56,62,2,2.06,clear sky,2022-10-24 03:59:10
440,Baoding,CN,38.8511,115.4903,66.52,21,0,2.84,clear sky,2022-10-24 03:59:10
441,Paine,CL,-33.8167,-70.75,65.71,55,100,1.1,overcast clouds,2022-10-24 03:59:11
442,Qiongshan,CN,20.0058,110.3542,73.38,94,40,8.95,scattered clouds,2022-10-24 03:59:11
443,Marfino,RU,55.7028,37.3822,41.34,87,100,11.18,overcast clouds,2022-10-24 03:59:11
444,Kavaratti,IN,10.5669,72.642,81.36,73,43,1.9,scattered clouds,2022-10-24 03:59:12
445,Cururupu,BR,-1.8283,-44.8683,76.23,90,72,5.03,broken clouds,2022-10-24 03:59:12
